record_id,tv_id
115865312f987b256d229c548e707d162f7715999f2ecb2d2c3bb0b1549665fd,TV-0
bc2d21c906d247643d86c1dbf28ede7b8a719847d990e76d9a526d277bb8ce05,TV-0
2d82c9878a9f169846286099aebe6395e992af79c1ffed1e4ac959b428c0ef07,TV-0
1e2843ef1e69db7ff97501d93cba54b85aaebb0a5593bc8794ca7911bf4ff831,TV-0
a6f4569f83924e341aff5ec248314d7e42aa1a1db51f21aa9dbfa2921dcc11aa,TV-0
5ffc7dd93d0db260d5e958f4e636f9b4230da219fd73eb15f3d63defd02f3ea0,TV-0
4bc0bfee3d4c6ce54e228d4acd679c4800add1c61b327d4796f911fc28c5439a,TV-0
7cdcb67dd60170cfdba8ad479045a61dcb9ffcaba4074b809ceaebabfcda500f,TV-0
d19b3e36a6943c4aa547414a3c92fddfd9749c79fa839ac6f0c40a56c04a5f30,TV-0
acaa510feb5af52cd0c8c468fbab74510fd3fea768ffc01545633cfb45f2ed28,TV-0
9d173c748b6cf332c91b65ffd7b339cc162fa6fbdb5489fd048c2a95049c1ec8,TV-0
afecc5d37b36077fcf155e91c2f81a261fa4ff64dda29622a75c610982d88fdc,TV-0
d444ff154b150463ac3f9888da05b4fead688c036ede769ad3d0e2e209da146e,TV-0
c50e6a1d76ec74f71b007b9e2965163bcc59092bba3ff99abd5bdeb258463dbf,TV-0
9331c39e586d217c0fd3521b6355ce657c19a99baed083de20b5f58d127bf9a0,TV-0
38505748402728c5b226ca57c872b684cd9b1e79e3d31ab21f0599a11f331206,TV-0
82d7fcaf8ced1fb3c03c2e90b77e7e5dd30da46c8e49f50c17deeeb52df81884,TV-0
b4a698cc4e7df00b9e7de6a783d5cbab15f1b7126d06ca443809c7d641c6c8d7,TV-0
986865167834e0cbef9b487d56bd7d677c2ec99354bc8a3bf8ebe04100d13f17,TV-0
c136bbd948d0020a986302e0c2ce3f5472a9f4184cf58a2ec3b27eafccb4e816,TV-0
09eb6447d6e465f14d1234728ed0c3a3d66adbab0ee0b2b1c6d021da1339edbe,TV-0
a7adb777a21c9cff5a0411026332161d9ebb396004a4b0dec542de701670c812,TV-0
15604f2c0fed29a86583eeb76f297edf81fbc015405209da2ea5b5d95f15d508,TV-0
625ee1934f7dc031d8d2c94ed23dc0d73e0d13f8a448b73555d7e1b9eaff25d4,TV-0
4e4145a1c968662c0d048eb9cf0a2cafaea561b370fb0676c80aacea8f9772b8,TV-0
01233682eca2ccb35b7121371e041dbf90dda9dd6a759199aedef8168f7871c0,TV-0
b314882a2e4efac10384d931882ceeaf64501bf0679c77d9a29471ef1c59c16d,TV-0
45a459a1b3d1291f60f4c72119462f694598ff3c2a213fd6116b464531b326d6,TV-0
167364e8df616729e792dfbf0df470cb547bfe5b491574a7d8fb50259f0119f5,TV-0
e536a091845ef8c03385d972ee7203cea1ee9994f85fc2e94bc6f27efbdc15fa,TV-0
ff94a3fc50486fdff6ec49a2eafef8a2e6c3fa703fba6214e1c1d2283c98494b,TV-0
37aa5addf7ec446305062e1cb8bcf25548b712e61153a2fde446c8ff900cd336,TV-0
3d1ea561212a55b50718eb15d0f47097889c8a6a86c74232be3a82ff1b6ed81b,TV-0
b743d64f1da9bd6489e483d4a18ecd63bafa63de9fad48730460a343afa2df67,TV-0
f8764a1f255b3fe177e48ea8db12cddee4865cdcd8ff570fdaac12349fae71aa,TV-0
81155083f79f1b25628db6c46450d776ac81799ab0f0237bb41e705e8968c995,TV-0
545339b63610994ba53a89cb4f0f6520d3782afddeaaf765eb955c726923f997,TV-0
31094643c44122b9e285c479e564b761b481294f683e3d127cd6a3d4f60968d3,TV-0
942462dafdf5b251be79a46023f90583e786ef925b034fc4a03b55d5dfbbe389,TV-0
76e54293eb65601d3111b8ca6990ec158afec16c11c5b409a6e3ac5fb04d3e7b,TV-0
e75f301565e9ceedd8c0e2c6c66108ec15218541fe0aa321bb3617d98a701b12,TV-0
b60360471ca37fdf422355b722980128c0b00d9e4ad63c30af8e831d197c3855,TV-0
d8fae8af7a5fdfd96c14e7e7d6bb58328943f5f320ea6375bdc9bec833639f87,TV-0
7e7424907345b07619cf65375d0c67357e09ba4954301bd9f18e8a61c9d4f846,TV-0
92362319d88ed282bfe638802626a3e5dd85fe8c8500ed262cfc54d4566312fb,TV-0
b3bba662315f29ebbacb097ea53e8573ad984f010c4d1e97ebe6979e62853b33,TV-0
1ba86090b35fee75ead363633186ccdc60f6f9882f3c8e89de96f9f6457c7d5d,TV-0
eb6c54ddecb19e561f751397127e1caf1f29d17145e36944acab8cfda406d42a,TV-0
cc21fea372cbe81bcf2afabe035096341e4d0fefa6a7c4499609f704e1d5f755,TV-0
e4da513ad305a5830d65c6940bc97ef08bdeade34dcef094f94fb817843193cd,TV-0
caf5e37dc8b4a89eab9c0739eb0ae83646b71c49a9cb154daad5e870562c5cdf,TV-3
e6face42bcdd62da0133e004afeaa94c1682a34eea151d56998a3b7f7bc0203e,TV-3
af2a958e60bba8c6cf2d8d4f67c7d8942db31d50d1cfbc1a5a320c2eb9a459b5,TV-3
12a25674ac38e497b7257b6433af500989d9a62ef4aad9a75b1679d646fcc22d,TV-3
b61ec79facac65d7ee7294f81dec25494b6f8c93e6cf0480352bef78e44305d4,TV-3
4f2895c52f669182a5d5cb7e67c4b7608e69ffa9537b391f5c053d24c9f85d6d,TV-3
376d7c08c427e57d8a5633ad7f9853534bf9e6b8d42fc06a1049626594fdc7a1,TV-3
f89ccef5c379ac45d25d02e911b489899d15c4b30fa5bbcc1dad677e223cad18,TV-3
b0722d0382aacda5e40d0f043874a7a9d55e719150c14c56220534139c06f625,TV-3
8d9fd49ebbaf90337bdd260b8bac8ec75f6405619d530839d9982e4065cf8373,TV-3
